price,area,level,market,building,num_of_rooms,city,district,price_per_m2
340000.0,32.0,3,Wtórny,Blok,1 pokój,Bydgoszcz,-,10625.0
284900.0,35.3,4,Wtórny,Blok,2 pokoje,Bydgoszcz,-,8071.0
305000.0,40.56,0,Wtórny,Blok,2 pokoje,Bydgoszcz,-,7520.0
356500.0,45.0,5,Wtórny,Blok,3 pokoje,Bydgoszcz,-,7922.0
489000.0,60.0,2,Wtórny,Blok,3 pokoje,Bydgoszcz,-,8150.0
645000.0,68.5,3,Wtórny,Pozostałe,3 pokoje,Bydgoszcz,-,9416.0
694230.0,69.43,3,Pierwotny,Apartamentowiec,4 i więcej,Bydgoszcz,-,9999.0
1592920.0,107.89,>10,Pierwotny,Apartamentowiec,4 i więcej,Bydgoszcz,-,14764.0
734551.0,67.39,4,Pierwotny,Apartamentowiec,4 i więcej,Bydgoszcz,-,10900.0
100000.0,22.0,Suterena,Wtórny,Kamienica,1 pokój,Bydgoszcz,-,4545.0
800000.0,82.81,3,Wtórny,Blok,3 pokoje,Bydgoszcz,-,9661.0
199000.0,25.0,0,Wtórny,Pozostałe,1 pokój,Bydgoszcz,-,7960.0
439000.0,60.8,0,Wtórny,Blok,3 pokoje,Bydgoszcz,-,7220.0
388000.0,37.0,2,Wtórny,Blok,2 pokoje,Bydgoszcz,-,10486.0
450000.0,56.0,7,Wtórny,Blok,3 pokoje,Bydgoszcz,-,8036.0
429300.0,57.21,1,Wtórny,Kamienica,2 pokoje,Bydgoszcz,-,7504.0
267540.0,44.59,Poddasze,Wtórny,Kamienica,2 pokoje,Bydgoszcz,-,6000.0
320000.0,37.2,3,Wtórny,Blok,2 pokoje,Bydgoszcz,-,8602.0
795000.0,80.0,0,Wtórny,Apartamentowiec,4 i więcej,Bydgoszcz,-,9938.0
349000.0,42.5,2,Wtórny,Kamienica,2 pokoje,Bydgoszcz,-,8212.0
221000.0,25.0,0,Wtórny,Kamienica,1 pokój,Bydgoszcz,-,8840.0
520000.0,47.25,2,Wtórny,Blok,2 pokoje,Bydgoszcz,-,11005.0
205000.0,25.0,0,Wtórny,Pozostałe,1 pokój,Bydgoszcz,-,8200.0
185000.0,20.0,0,Wtórny,Kamienica,1 pokój,Bydgoszcz,-,9250.0
460000.0,50.0,3,Wtórny,Blok,2 pokoje,Bydgoszcz,-,9200.0
315000.0,51.0,1,Pierwotny,Kamienica,2 pokoje,Bydgoszcz,-,6176.0
255000.0,35.0,4,Wtórny,Blok,2 pokoje,Bydgoszcz,-,7286.0
550000.0,100.25,2,Wtórny,Kamienica,3 pokoje,Bydgoszcz,-,5486.0
439000.0,62.5,0,Wtórny,Blok,3 pokoje,Bydgoszcz,-,7024.0
275000.0,44.82,0,Wtórny,Blok,2 pokoje,Bydgoszcz,-,6136.0
300000.0,42.0,3,Wtórny,Blok,2 pokoje,Bydgoszcz,-,7143.0
299000.0,38.0,4,Wtórny,Blok,2 pokoje,Bydgoszcz,-,7868.0
449000.0,59.0,>10,Wtórny,Blok,3 pokoje,Bydgoszcz,-,7610.0
485000.0,58.0,3,Wtórny,Blok,3 pokoje,Bydgoszcz,-,8362.0
370000.0,42.4,5,Wtórny,Blok,2 pokoje,Bydgoszcz,-,8726.0
180000.0,43.0,Suterena,Wtórny,Kamienica,2 pokoje,Bydgoszcz,-,4186.0
312000.0,42.0,2,Wtórny,Blok,2 pokoje,Bydgoszcz,-,7429.0
450000.0,74.0,3,Wtórny,Blok,4 i więcej,Bydgoszcz,-,6081.0
649000.0,55.91,6,Pierwotny,Apartamentowiec,3 pokoje,Bydgoszcz,-,11608.0
620000.0,55.49,0,Pierwotny,Blok,3 pokoje,Bydgoszcz,-,11173.0
399000.0,46.5,2,Wtórny,Blok,2 pokoje,Bydgoszcz,-,8581.0
390000.0,48.0,1,Wtórny,Blok,3 pokoje,Bydgoszcz,-,8125.0
289000.0,50.0,1,Wtórny,Blok,2 pokoje,Bydgoszcz,-,5780.0
449000.0,42.0,3,Wtórny,Blok,2 pokoje,Bydgoszcz,-,10690.0
